Stride,Start Index,Temp. Consistency
1,11200,0.9999798496109296
1,11201,1.0
1,11202,1.0
1,11203,1.0
1,11204,0.9999932832938727
1,11205,1.0
1,11206,1.0
1,11207,1.0
1,11208,0.9999865671742036
1,11209,1.0
1,11210,1.0
1,11211,1.0
1,11212,0.9999932837224297
1,11213,0.9999865675350755
1,11214,0.999979851167289
1,11215,0.9999932837449838
1,11216,0.9999932838126452
1,11217,0.9999764938968082
1,11218,0.9999932840832774
1,11219,0.9999932841960343
1,11220,0.9999764942914708
1,11221,0.9999798529940129
1,11222,0.9999932843538877
1,11223,1.0
1,11224,0.9999932845342825
1,11225,1.0
1,11226,0.999993284601928
1,11227,1.0
1,11228,1.0
1,11229,0.999993284601928
1,11230,1.0
1,11231,0.9999865693391443
1,11232,0.99997985454985
1,11233,0.999976497685022
1,11234,1.0
1,11235,1.0
1,11236,0.9999966425151591
1,11237,1.0
1,11238,1.0
1,11239,1.0
1,11240,0.999993285030318
1,11241,1.0
1,11242,1.0
1,11243,1.0
1,11244,1.0
1,11245,0.9999966425715217
1,11246,1.0
1,11247,1.0
1,11248,1.0
1,11249,1.0
1,11250,1.0
1,11251,0.9999832131394115
1,11252,1.0
1,11253,1.0
1,11254,1.0
1,11255,1.0
1,11256,1.0
1,11257,1.0
1,11258,1.0
1,11259,0.9999798561730757
1,11260,0.9999932854361109
1,11261,0.9999932855488225
1,11262,0.9999932856615302
1,11263,1.0
1,11264,1.0
1,11265,1.0
1,11266,0.9999899284584834
1,11267,1.0
1,11268,1.0
1,11269,0.9999932857516937
1,11270,1.0
1,11271,1.0
1,11272,1.0
1,11273,0.9999899286951618
1,11274,0.999989928762782
1,11275,1.0
1,11276,1.0
1,11277,0.9999899287965919
1,11278,1.0
1,11279,1.0
1,11280,1.0
1,11281,1.0
1,11282,1.0
1,11283,1.0
1,11284,0.9999932863151605
1,11285,1.0
1,11286,0.9999932863376972
1,11287,1.0
1,11288,0.9999932864503784
1,11289,0.9999865730810416
1,11290,0.9999563614880062
1,11291,1.0
1,11292,1.0
1,11293,0.999993286585591
1,11294,0.9999630756010285
1,11295,0.9999865731261119
1,11296,1.0
1,11297,1.0
1,11298,0.9999899300811971
1,11299,0.999986573666933
1,11300,1.0
1,11301,0.9999966434279999
1,11302,0.9999765044691856
1,11303,0.9999731482351678
1,11304,0.9999697929812313
1,11305,0.9999798617847158
1,11306,0.9999832187734937
1,11307,0.9999932877346775
1,11308,1.0
1,11309,1.0
1,11310,1.0
1,11311,0.9999932878022586
1,11312,0.9999597258674041
1,11313,0.9999932878473119
1,11314,0.9999832196745959
1,11315,1.0
1,11316,1.0
1,11317,0.9999932879148907
1,11318,0.9999865757396768
1,11319,0.9999932879148907
1,11320,1.0
1,11321,1.0
1,11322,1.0
1,11323,0.9999932879599426
1,11324,1.0
1,11325,0.9999932880275191
1,11326,0.9999832200124843
1,11327,1.0
1,11328,0.9999932882752881
1,11329,1.0
